Country/Region,Confirmed,Deaths,Recovered,Active,New Confirmed,New deaths,New recovered,Recovery rate(per 100),Mortality rate(per 100),WHO region
Afghanistan,55330,2408,48027,4895,65,1,9,86.8,4.35,EMRO
Albania,84212,1446,50875,31891,1130,13,656,60.41,1.72,EURO
Algeria,108629,2909,74330,31390,0,0,0,68.43,2.68,AFRO
Andorra,10206,105,9492,609,34,1,48,93.0,1.03,EURO
Angola,20062,475,18475,1112,32,1,44,92.09,2.37,AFRO
Antigua and Barbuda,288,7,187,94,11,0,4,64.93,2.43,PAHO
Argentina,1976689,49110,1772059,155520,6680,125,8297,89.65,2.48,PAHO
Armenia,167937,3114,159577,5246,211,5,227,95.02,1.85,EURO
Australia,28851,909,26086,1856,3,0,3,90.42,3.15,WPRO
Austria,422522,7994,400851,13677,1333,21,1522,94.87,1.89,EURO
Azerbaijan,231022,3156,224961,2905,115,3,201,97.38,1.37,EURO
Bahamas,8256,176,6819,1261,0,0,0,82.59,2.13,PAHO
Bahrain,106713,379,100772,5562,515,2,409,94.43,0.36,EMRO
Bangladesh,537770,8190,482841,46739,305,8,417,89.79,1.52,SEARO
Barbados,1676,18,1349,309,20,1,60,80.49,1.07,PAHO
Belarus,256959,1773,244941,10245,1787,9,1797,95.32,0.69,EURO
Belgium,723870,21352,0,702518,2438,57,0,0.0,2.95,EURO
Belize,12037,306,11479,252,24,0,11,95.36,2.54,PAHO
Benin,4193,55,3563,575,0,0,0,84.97,1.31,AFRO
Bhutan,861,1,853,7,0,0,1,99.07,0.12,SEARO
Bolivia,227128,10753,167354,49021,1218,66,908,73.68,4.73,PAHO
Bosnia and Herzegovina,123434,4775,97128,21531,0,0,0,78.69,3.87,EURO
Botswana,23503,163,19574,3766,0,0,0,83.28,0.69,AFRO
Brazil,9447165,230034,8428992,788139,0,0,32844,89.22,2.43,PAHO
Brunei,181,3,173,5,1,0,1,95.58,1.66,WPRO
Bulgaria,223552,9311,193191,21050,493,9,161,86.42,4.17,EURO
Burkina Faso,11227,134,10040,1053,84,2,99,89.43,1.19,AFRO
Burma,141304,3168,127229,10907,0,0,0,90.04,2.24,SEARO
Burundi,1717,3,773,941,19,0,0,45.02,0.17,AFRO
Cabo Verde,14380,135,13684,561,74,0,62,95.16,0.94,AFRO
Cambodia,474,0,454,20,2,0,1,95.78,0.0,WPRO
Cameroon,31394,474,29501,1419,1081,0,1456,93.97,1.51,AFRO
Canada,805794,20700,0,785094,3264,93,0,0.0,2.57,PAHO
Central African Republic,4989,63,4885,41,0,0,0,97.92,1.26,AFRO
Chad,3473,125,2849,499,23,1,39,82.03,3.6,AFRO
Chile,748082,18895,706020,23167,4063,87,4705,94.38,2.53,PAHO
China,100348,4822,91355,4171,30,0,146,91.04,4.81,WPRO
