Date,Confirmed,Deaths,Recovered,Active,New Confirmed,New deaths,New recovered,Recovery rate(per 100),Mortality rate(per 100),Number of countries
2020-01-22,557,17,30,510,0,0,0,5.39,3.05,6
2020-01-23,655,18,32,605,98,1,2,4.89,2.75,8
2020-01-24,941,26,39,876,286,8,7,4.14,2.76,9
2020-01-25,1433,42,42,1349,492,16,3,2.93,2.93,11
2020-01-26,2118,56,56,2006,685,14,14,2.64,2.64,13
2020-01-27,2927,82,65,2780,809,26,9,2.22,2.8,16
2020-01-28,5578,131,108,5339,2651,49,43,1.94,2.35,16
2020-01-29,6167,133,126,5908,589,2,18,2.04,2.16,18
2020-01-30,8235,171,143,7921,2068,38,17,1.74,2.08,20
2020-01-31,9927,213,222,9492,1692,42,79,2.24,2.15,23
2020-02-01,12038,259,284,11495,2111,46,62,2.36,2.15,25
2020-02-02,16787,362,463,15962,4749,103,179,2.76,2.16,25
2020-02-03,19887,426,608,18853,3100,64,145,3.06,2.14,25
2020-02-04,23898,492,826,22580,4011,66,218,3.46,2.06,26
2020-02-05,27643,564,1076,26003,3745,72,250,3.89,2.04,26
2020-02-06,30803,634,1423,28746,3160,70,347,4.62,2.06,26
2020-02-07,34335,719,1908,31708,3532,85,485,5.56,2.09,26
2020-02-08,37069,806,2470,33793,2734,87,562,6.66,2.17,26
2020-02-09,40096,906,3058,36132,3027,100,588,7.63,2.26,26
2020-02-10,42634,1013,3715,37906,2538,107,657,8.71,2.38,26
2020-02-11,44676,1113,4418,39145,2042,100,703,9.89,2.49,26
2020-02-12,45054,1118,4850,39086,378,5,432,10.76,2.48,26
2020-02-13,60207,1371,5929,52907,15153,253,1079,9.85,2.28,26
2020-02-14,66691,1523,7612,57556,6484,152,1683,11.41,2.28,27
2020-02-15,68767,1666,8903,58198,2076,143,1291,12.95,2.42,27
2020-02-16,70880,1770,10320,58790,2113,104,1417,14.56,2.5,27
2020-02-17,72816,1868,11951,58997,1936,98,1631,16.41,2.57,27
2020-02-18,74610,2008,13693,58909,1794,140,1742,18.35,2.69,27
2020-02-19,75031,2123,15394,57514,421,115,1701,20.52,2.83,28
2020-02-20,75578,2246,17371,55961,547,123,1977,22.98,2.97,28
2020-02-21,76207,2250,17968,55989,629,4,597,23.58,2.95,30
2020-02-22,77968,2457,21852,53659,1761,207,3884,28.03,3.15,30
2020-02-23,78291,2467,22304,53520,323,10,452,28.49,3.15,31
2020-02-24,78855,2627,24047,52181,564,160,1743,30.5,3.33,36
2020-02-25,79708,2707,26652,50349,853,80,2605,33.44,3.4,41
2020-02-26,80671,2767,29079,48825,963,60,2427,36.05,3.43,47
2020-02-27,82031,2810,31920,47301,1360,43,2841,38.91,3.43,51
2020-02-28,83417,2867,35305,45245,1386,57,3385,42.32,3.44,56
2020-02-29,85308,2936,38313,44059,1891,69,3008,44.91,3.44,61
2020-03-01,87689,2990,41209,43490,2381,54,2896,46.99,3.41,66
2020-03-02,89672,3079,44084,42509,1983,89,2875,49.16,3.43,73
2020-03-03,92265,3154,46680,42431,2593,75,2596,50.59,3.42,76
2020-03-04,94573,3249,49618,41706,2308,95,2938,52.47,3.44,80
2020-03-05,97384,3343,52236,41805,2811,94,2618,53.64,3.43,84
2020-03-06,101297,3454,54268,43575,3913,111,2032,53.57,3.41,93
2020-03-07,105392,3558,56758,45076,4095,104,2490,53.85,3.38,94
2020-03-08,109341,3797,59092,46452,3949,239,2334,54.04,3.47,99
2020-03-09,113513,3987,60891,48635,4172,190,1799,53.64,3.51,102
2020-03-10,118335,4261,62798,51276,4822,274,1907,53.07,3.6,105
2020-03-11,125996,4604,65109,56283,7689,343,2311,51.68,3.65,111
2020-03-12,131786,4910,66431,60445,5790,306,1322,50.41,3.73,113
2020-03-13,146170,5407,68356,72407,14384,497,1925,46.76,3.7,119
2020-03-14,157244,5827,70727,80690,11074,420,2371,44.98,3.71,134
2020-03-15,168513,6468,74138,87907,11269,641,3411,44.0,3.84,138
2020-03-16,183321,7146,76192,99983,14808,678,2054,41.56,3.9,144
2020-03-17,199264,7959,78936,112369,15943,813,2744,39.61,3.99,147
2020-03-18,218822,8864,81422,128536,19558,905,2486,37.21,4.05,151
2020-03-19,245871,9975,83064,152832,27049,1111,1642,33.78,4.06,155
2020-03-20,276646,11457,85509,179680,30775,1482,2445,30.91,4.14,162
2020-03-21,308637,13174,89755,205708,31991,1717,4246,29.08,4.27,164
2020-03-22,343493,14849,95973,232671,34856,1675,6218,27.94,4.32,169
2020-03-23,386328,16793,96442,273093,42835,1944,469,24.96,4.35,170
2020-03-24,427507,19079,105982,302446,41194,2286,9540,24.79,4.46,172
2020-03-25,478508,21882,111428,345198,51001,2803,5446,23.29,4.57,175
2020-03-26,541385,24910,119791,396684,62877,3028,8363,22.13,4.6,175
2020-03-27,606426,28397,128504,449525,65041,3487,8713,21.19,4.68,176
2020-03-28,673704,32120,136806,504778,67278,3723,8302,20.31,4.77,176
2020-03-29,732941,35607,146258,551076,59237,3487,9452,19.95,4.86,176
2020-03-30,798235,39672,161595,596968,65294,4065,15337,20.24,4.97,177
2020-03-31,875080,44426,174063,656591,76845,4754,12468,19.89,5.08,179
2020-04-01,957865,50399,189608,717858,82785,5973,15545,19.79,5.26,179
2020-04-02,1040928,56270,206328,778330,83063,5871,16720,19.82,5.41,180
2020-04-03,1124479,62407,221317,840755,83551,6137,14989,19.68,5.55,180
2020-04-04,1182868,68305,241326,873237,75463,5898,20009,20.4,5.77,180
2020-04-05,1255460,73459,254732,927269,72592,5154,13406,20.29,5.85,181
2020-04-06,1328603,79382,271204,978017,73143,5923,16472,20.41,5.97,182
2020-04-07,1398432,87639,293937,1016856,73320,8257,22733,21.02,6.27,182
2020-04-08,1481787,94433,322463,1064891,83355,6794,28526,21.76,6.37,182
2020-04-09,1568806,102220,346725,1119861,87019,7787,24262,22.1,6.52,182
2020-04-10,1654341,109622,367790,1176929,85535,7402,21065,22.23,6.63,183
2020-04-11,1728652,115799,393346,1219507,74311,6177,25556,22.75,6.7,183
2020-04-12,1848346,121604,412212,1314530,119715,5805,18866,22.3,6.58,183
2020-04-13,1919078,127523,438851,1352704,70732,5919,26639,22.87,6.65,183
2020-04-14,2003045,134500,463454,1405091,83967,6977,24603,23.14,6.71,183
2020-04-15,2080193,142959,499271,1437963,77148,8459,35817,24.0,6.87,183
2020-04-16,2175744,150235,529448,1496061,95551,7276,30177,24.33,6.9,183
2020-04-17,2263741,158609,554784,1550348,87997,8374,25336,24.51,7.01,183
2020-04-18,2340981,164754,578243,1597984,77241,6145,23459,24.7,7.04,183
2020-04-19,2417586,169954,609126,1638506,76605,5200,30883,25.2,7.03,183
2020-04-20,2493604,175792,630592,1687220,76018,5838,21466,25.29,7.05,183
2020-04-21,2569353,183089,664749,1721515,75749,7297,34157,25.87,7.13,183
2020-04-22,2650600,189921,693585,1767094,81247,6832,28836,26.17,7.17,183
2020-04-23,2734849,196749,721997,1816103,85959,6828,28412,26.4,7.19,183
2020-04-24,2818945,203491,771630,1843824,94130,6742,49633,27.37,7.22,183
2020-04-25,2901203,209114,798529,1893560,82258,5623,26899,27.52,7.21,183
2020-04-26,2972791,213044,826405,1933342,71589,3930,27876,27.8,7.17,183
2020-04-27,3042983,217746,852866,1972371,70192,4702,26461,28.03,7.16,183
2020-04-28,3118523,224324,885088,2009111,75540,6578,32222,28.38,7.19,183
2020-04-29,3195633,231150,926038,2038445,78567,6826,40950,28.98,7.23,183
2020-04-30,3279128,237199,990017,2051912,83495,6049,63979,30.19,7.23,185
2020-05-01,3367504,242329,1026823,2098352,88376,5130,36806,30.49,7.2,185
2020-05-02,3446704,247798,1066404,2132502,79367,5469,39581,30.94,7.19,185
2020-05-03,3523077,251237,1097792,2174048,76373,3439,31388,31.16,7.13,185
2020-05-04,3600766,255394,1130737,2214635,77690,4157,32945,31.4,7.09,185
2020-05-05,3681268,261262,1166233,2253773,80502,5868,35496,31.68,7.1,185
2020-05-06,3771295,267802,1211169,2292324,90027,6540,44936,32.12,7.1,185
2020-05-07,3860002,273102,1249585,2337315,90290,5300,38416,32.37,7.08,185
2020-05-08,3950280,278640,1285017,2386623,91758,5538,35432,32.53,7.05,185
2020-05-09,4035503,282929,1337453,2415121,85223,4289,52436,33.14,7.01,185
2020-05-10,4110479,286421,1370398,2453660,74985,3492,32945,33.34,6.97,185
2020-05-11,4187110,289865,1416377,2480868,76688,3444,45979,33.83,6.92,185
2020-05-12,4271600,295369,1452395,2523836,84510,5504,36018,34.0,6.91,185
2020-05-13,4356580,300516,1507145,2548919,84980,5147,54750,34.59,6.9,186
2020-05-14,4452811,305670,1545891,2601250,96232,5154,38746,34.72,6.86,186
2020-05-15,4548543,310893,1593155,2644495,95732,5223,47264,35.03,6.84,186
2020-05-16,4642982,315143,1648637,2679202,94439,4250,55482,35.51,6.79,186
2020-05-17,4721004,318272,1688906,2713826,78022,3129,40269,35.77,6.74,186
2020-05-18,4810171,321984,1741116,2747071,89167,3712,52210,36.2,6.69,186
2020-05-19,4906946,326676,1792345,2787925,96984,4692,51229,36.53,6.66,186
2020-05-20,5008824,331469,1850607,2826748,101878,4793,58262,36.95,6.62,186
2020-05-21,5115468,336150,1900901,2878417,106748,4681,50294,37.16,6.57,186
2020-05-22,5221889,341422,2008575,2871892,106421,5272,107674,38.46,6.54,186
2020-05-23,5326694,345406,2062709,2918579,104805,3984,54134,38.72,6.48,186
2020-05-24,5420905,348391,2117553,2954961,94650,2985,54844,39.06,6.43,186
2020-05-25,5507621,349570,2180583,2977468,87088,1179,63030,39.59,6.35,186
2020-05-26,5601588,353798,2235039,3012751,93967,4228,54456,39.9,6.32,186
2020-05-27,5704350,358891,2297483,3047976,102762,5093,62444,40.28,6.29,186
2020-05-28,5823633,363509,2363627,3096497,119283,4618,66144,40.59,6.24,186
2020-05-29,5944535,368151,2439965,3136419,120902,4642,76338,41.05,6.19,186
2020-05-30,6081050,372171,2509811,3199068,136515,4020,69846,41.27,6.12,186
2020-05-31,6187458,374942,2585499,3227017,106408,2771,75688,41.79,6.06,186
2020-06-01,6283452,378020,2639543,3265889,95994,3078,54044,42.01,6.02,186
